run_date,adm1_name,adm2_name,adm2_code,pop_total,pop_wra,w_exposure,facilities,fac_per_100k,A_distance,A_density,A_blend,v30,v3m,dlt_v30_raw,events30,events_90v,events_prevv,spillover,cast_state,cast_raw,access_A,mvi,MVI_raw,DCR100,PRS100,priority100,data_as_of
2025-11-12,Aguascalientes,Aguascalientes,MX01001,995228,248807,2.0,179.0,71.94331349198374,0.5313385028859954,0.5884551389026527,0.29422756945132633,0.0,0.40191795246918294,-0.40191795246918294,0,1.0,1.0,1.066632534425565,0.005486132276744898,10.0,0.29422756945132633,0.0,23.6822578574,12.734538238338555,5.739707020504863,8.537639507638339,2025-11-12
2025-11-12,Aguascalientes,Asientos,MX01002,54708,13677,1.9537636236141405,15.0,109.67317394165387,3.985944490682217,0.34363086423642847,0.2810087765037377,0.0,0.0,0.0,0,0.0,0.0,1.4026032315978456,0.005486132276744898,10.0,0.2810087765037377,0.22682656749357774,40.1318811907,17.129159995073454,7.379898769887326,11.279603259961778,2025-11-12
2025-11-12,Aguascalientes,Calvillo,MX01003,60922,15230,2.0,20.0,131.31976362442546,1.8257548627313223,0.26667900690002844,0.1729262725280427,0.0,0.0,0.0,0,0.0,0.0,3.4838956921629762,0.005486132276744898,10.0,0.1729262725280427,0.306589370509723,45.7559438264,21.65838444209859,10.599351741241767,15.022964821584498,2025-11-12
2025-11-12,Aguascalientes,Cosío,MX01004,18113,4528,1.124164340607898,4.0,88.33922261484099,0.055169943277886956,0.4563707111125116,0.2281853555562558,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005486132276744898,10.0,0.2281853555562558,0.18296461828732638,37.0391820837,10.504853032434202,3.751797739093109,6.453019856429547,2025-11-12
2025-11-12,Aguascalientes,Jesús María,MX01005,138498,34624,2.0,16.0,46.21072088724584,5.2664565010221,0.9847427455181325,0.6428259353851491,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005486132276744898,10.0,0.6428259353851491,0.031250387457656396,26.3418356434,19.9097858107076,7.968913542891479,12.745262450017927,2025-11-12
2025-11-12,Aguascalientes,Pabellón de Arteaga,MX01006,50930,12732,1.8850588405308377,9.0,70.6880301602262,0.23074665993748872,0.6010927670479013,0.30054638352395063,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005486132276744898,10.0,0.30054638352395063,0.06778691094923098,28.9180201409,10.37212972470314,4.044241538014972,6.575396812690237,2025-11-12
2025-11-12,Aguascalientes,Rincón de Romos,MX01007,60713,15178,2.0,16.0,105.41573329819475,3.455449954152754,0.36248483726645464,0.27334193596330847,0.0,6.588483331137172,-6.588483331137172,0,1.0,1.0,0.0,0.005486132276744898,10.0,0.27334193596330847,0.23220932817066212,40.5114187954,25.01386492704824,4.53990025339442,12.729486122855949,2025-11-12
2025-11-12,Aguascalientes,San José de Gracia,MX01008,10106,2527,0.8398064713336566,7.0,277.0083102493075,4.422168209620495,0.06162765052459121,0.1540633611739284,0.0,0.0,0.0,0,0.0,0.0,4.064544974190139,0.005486132276744898,10.0,0.1540633611739284,0.3068018041910595,45.7709224917,22.819880584445702,11.522815512961618,16.04164154155525,2025-11-12
2025-11-12,Aguascalientes,Tepezalá,MX01009,23953,5988,1.2927587672315268,7.0,116.9004676018704,3.2046811969521394,0.31476934641022997,0.24140380992555077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005486132276744898,10.0,0.24140380992555077,0.19159164590518019,37.6474724377,11.073947215870128,3.9535543296139184,6.801711484116401,2025-11-12
2025-11-12,Aguascalientes,El Llano,MX01010,22066,5516,1.2407626871290496,5.0,90.64539521392314,2.389964662186311,0.44162544503607565,0.2785797066044327,0.0,0.0,0.0,0,0.0,0.0,2.8052064631956912,0.005486132276744898,10.0,0.2785797066044327,0.23363730692494422,40.6121053517,21.354868036811396,10.159713861645677,14.637775531711966,2025-11-12
2025-11-12,Aguascalientes,San Francisco de los Romo,MX01011,66686,16671,2.0,6.0,35.99064243296743,5.019660805210647,1.0,0.6425022037387935,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005486132276744898,10.0,0.6425022037387935,0.19361927995323505,37.790440594,23.147451711228506,8.776873225613105,14.525104619859263,2025-11-12
2025-11-12,Baja California,Ensenada,MX02001,587107,146777,2.0,152.0,103.55845943165482,84.58092438849741,0.3711953768483404,0.6855976884241702,2.7252226166224953,10.219584812334357,-1.3626113083112474,4,15.0,6.0,1.9789947155750838,0.8162145687290463,276.0,0.6855976884241702,0.0,22.2984391711,45.31713101062149,53.82204343630516,50.42007846603169,2025-11-12
2025-11-12,Baja California,Mexicali,MX02002,1087622,271906,2.0,219.0,80.54254043676859,60.64052629694322,0.5124743538227966,0.7562371769113982,1.103322471736556,5.148838201437261,-1.4710966289820746,3,14.0,7.0,2.1150440396283128,0.8162145687290463,276.0,0.7562371769113982,0.0,20.2190064344,38.474008316423344,38.87726786131865,38.71596404336053,2025-11-12
2025-11-12,Baja California,Tecate,MX02003,110500,27625,2.0,22.0,79.63800904977376,9.524203802060564,0.5196943679843269,0.5474967429812018,3.6199095022624435,14.479638009049774,0.0,1,4.0,1.0,3.00009556407849,0.8162145687290463,276.0,0.5474967429812018,0.0,21.1066942695,52.072957625734794,57.19721221687013,55.147510380416,2025-11-12
