lon,lat
-102.2544229,21.8773199
-102.2951765,21.8661478
-102.2957787,21.8664341
-102.2955062,21.9000674
-102.3196314,21.8804243
-102.2763838,21.8847294
-102.2552599,21.8957721
-102.0873268,22.235075
-102.7066561,21.8474122
-102.3383474,21.955939
-102.2803085,22.1457198
-102.3217268,22.2282169
-102.2589902,21.8574683
-102.2965,21.8998
-102.3082959,21.9568583
-102.2609952,21.9382205
-102.307437,21.901974
-102.308,21.9014
-102.278,22.1404
-102.314,22.2292
-102.733,21.8457
-102.253,21.888
-102.074,22.0885
-102.416,22.1506
-102.300649,22.366425
-101.964,21.9196
-102.2389,22.0978
-102.2846561,21.8829836
-102.306285,21.882662
-102.298258,21.863342
-102.305085,21.882601
-102.318163,21.855653
-102.277192,21.859834
-102.301157,21.85255
-102.2965169,21.8700626
-102.283391,21.867268
-102.303244,21.863313
-102.304522,21.897933
-102.26739,21.90341
-102.30291,21.86157
-102.316833,22.235164
-102.31679,22.23079
-102.70377,21.8476
-102.31048,21.91705
-102.30137,21.86941
-102.288314,21.883265
-102.2601,21.90574
-102.27763,21.89085
-102.30282,21.8687
-102.271,21.8728
-102.2697,21.8604
-102.3113,21.8952
-102.3019,21.845
-102.2531,21.8939
-102.2453,21.8731
-102.2585,21.8594
-102.2501,21.8501
-102.2595,21.9307
-102.2514,21.8709
-102.2979,21.884
-102.29789,21.88259
-102.29748,21.88563
-102.283063,21.878704
-102.29491,21.88267
-102.30913,21.89627
-102.305129,21.892239
-102.3123,21.88531
-102.31786,21.87964
-102.304872,21.879772
-102.30275,21.84522
-102.30241,21.84986
-102.31073,21.85188
-102.26931,21.85774
-102.25235,21.84984
-102.29765,21.93433
-102.283412,21.929236
-102.261682,21.932359
-102.25761,21.9299
-102.281231,21.902104
-102.25203,21.90257
-102.27378,21.88979
-102.2555,21.88605
-102.2555,21.88605
-102.246872,21.888614
-102.235952,21.8675
-102.244383,21.8705
-102.31766,21.85355
-102.32111,21.85266
-102.31267,21.86727
-102.29375,21.84876
-102.29292,21.99405
-102.34314,21.96153
-116.69438,31.89227
-116.59115,31.78366
-116.59115,31.78366
-116.6001,31.78301
-116.57316,31.77444
-116.57311,31.7207
-102.2667,21.9262
-102.2604,21.8804
-102.2984,21.8634
-102.2862463,21.8674197
-102.28915,21.8655
-102.29771,21.86619
-102.3157,21.92428
-102.282025,21.88231
-102.284024,21.926874
-102.317396,21.898647
-102.311501,21.87401
-102.298721,21.859197
-102.277968,21.896191
-102.258785,21.882135
-102.2966244,21.9072576
-102.3105491,21.864844
