event_id_cnty,event_date,event_type,adm2_code,latitude,longitude
MEX87691,2024-05-20,Violence against civilians,MX16102,19.4209,-102.0628
MEX87692,2024-05-21,Violence against civilians,MX16102,19.4209,-102.0628
MEX87694,2024-05-23,Violence against civilians,MX16102,19.4209,-102.0628
MEX88040,2024-06-15,Battles,MX16102,19.4209,-102.0628
MEX88042,2024-06-19,Violence against civilians,MX16102,19.4209,-102.0628
MEX88200,2024-06-13,Violence against civilians,MX12011,17.2127,-100.4331
MEX88389,2024-05-29,Battles,MX16008,18.5991,-103.5048
MEX88619,2024-06-02,Violence against civilians,MX12072,17.4229,-98.7817
MEX88763,2024-06-05,Violence against civilians,MX16008,18.5991,-103.5048
MEX88811,2024-06-06,Violence against civilians,MX16102,19.4209,-102.0628
MEX88847,2024-06-07,Violence against civilians,MX16102,19.4209,-102.0628
MEX89119,2024-06-28,Battles,MX11007,20.4698,-100.8026
MEX89209,2024-06-24,Violence against civilians,MX12057,17.2226,-100.6324
MEX89480,2024-07-01,Violence against civilians,MX16008,18.5991,-103.5048
MEX89538,2024-07-05,Violence against civilians,MX16102,19.4209,-102.0628
MEX89945,2024-07-06,Battles,MX16102,19.3485,-102.0556
MEX89952,2024-07-06,Battles,MX16102,19.3403,-102.0944
MEX89954,2024-07-06,Battles,MX16102,19.4209,-102.0628
MEX90014,2024-07-12,Violence against civilians,MX16102,19.4209,-102.0628
MEX90067,2024-07-07,Violence against civilians,MX16102,19.4209,-102.0628
MEX90247,2024-07-15,Violence against civilians,MX24035,22.1891,-100.9379
MEX91247,2024-08-09,Violence against civilians,MX16102,19.4209,-102.0628
MEX91513,2024-08-10,Violence against civilians,MX24035,22.1891,-100.9379
MEX91855,2024-08-19,Violence against civilians,MX16102,19.4209,-102.0628
MEX93410,2024-09-25,Violence against civilians,MX16102,19.4209,-102.0628
MEX93737,2024-10-02,Violence against civilians,MX12011,17.2127,-100.4331
MEX93990,2024-10-09,Battles,MX16102,19.4209,-102.0628
MEX94655,2024-10-19,Violence against civilians,MX24035,22.1891,-100.9379
MEX94801,2024-06-06,Violence against civilians,MX06007,19.0532,-104.3164
MEX94802,2024-10-04,Violence against civilians,MX27004,17.9878,-92.9194
MEX94804,2024-10-25,Violence against civilians,MX08019,28.6368,-106.0763
MEX94807,2024-10-25,Violence against civilians,MX14109,21.1281,-102.0072
MEX94809,2024-10-25,Violence against civilians,MX19031,25.6513,-100.106
MEX94810,2024-10-25,Violence against civilians,MX21114,19.044,-98.1975
MEX94817,2024-10-26,Violence against civilians,MX04009,18.6065,-90.738
MEX94821,2024-10-26,Violence against civilians,MX09007,19.359,-99.0926
MEX94822,2024-10-26,Battles,MX09017,19.4193,-99.1137
MEX94829,2024-10-26,Battles,MX12010,17.4268,-98.8066
MEX94830,2024-10-26,Battles,MX12057,17.1586,-100.6397
MEX94835,2024-10-26,Battles,MX16084,19.8647,-102.4094
MEX94836,2024-10-26,Violence against civilians,MX17024,18.7011,-99.153
MEX94837,2024-10-26,Violence against civilians,MX17025,18.63,-99.1627
MEX94845,2024-10-26,Battles,MX25006,24.4914,-107.423
MEX94853,2024-10-26,Violence against civilians,MX27004,17.9878,-92.9194
MEX94855,2024-10-26,Violence against civilians,MX32010,23.1749,-102.8682
MEX94856,2024-10-27,Violence against civilians,MX02002,32.6412,-115.476
MEX94857,2024-10-27,Battles,MX04004,19.3474,-90.7203
MEX94858,2024-10-27,Violence against civilians,MX08019,28.6368,-106.0763
MEX94859,2024-10-27,Battles,MX09015,19.4313,-99.1531
MEX94867,2024-10-27,Battles,MX12010,17.4268,-98.8066
MEX94868,2024-10-27,Battles,MX12056,16.9956,-99.3774
MEX94869,2024-10-27,Violence against civilians,MX12057,17.2226,-100.6324
MEX94870,2024-10-27,Violence against civilians,MX12057,17.1834,-100.6722
MEX94871,2024-10-27,Violence against civilians,MX12057,17.1834,-100.6722
MEX94872,2024-10-27,Violence against civilians,MX14097,20.4736,-103.4431
MEX94877,2024-10-27,Violence against civilians,MX25002,25.1254,-108.0138
MEX94883,2024-10-27,Violence against civilians,MX25010,26.0776,-108.7599
MEX94894,2024-10-28,Violence against civilians,MX09015,19.4313,-99.1531
MEX94902,2024-10-28,Violence against civilians,MX11007,20.4983,-100.8773
MEX94908,2024-10-28,Battles,MX12011,17.2127,-100.4331
MEX94917,2024-10-28,Violence against civilians,MX16004,20.1491,-101.7129
MEX94918,2024-10-28,Violence against civilians,MX16008,18.6238,-103.5051
MEX94919,2024-10-28,Violence against civilians,MX16019,19.8084,-102.7041
MEX94920,2024-10-28,Violence against civilians,MX16053,19.7034,-101.192
MEX94922,2024-10-28,Violence against civilians,MX17011,18.882,-99.1772
MEX94923,2024-10-28,Violence against civilians,MX19010,25.9322,-100.3641
MEX94924,2024-10-28,Violence against civilians,MX19031,25.6513,-100.106
MEX94926,2024-10-28,Violence against civilians,MX21114,19.044,-98.1975
MEX94932,2024-10-28,Battles,MX25016,24.0391,-106.0597
MEX94933,2024-10-28,Violence against civilians,MX26018,27.4965,-109.9327
MEX94935,2024-10-28,Violence against civilians,MX26055,32.4798,-114.7796
MEX94936,2024-10-28,Battles,MX27004,17.9878,-92.9194
MEX94945,2024-10-29,Violence against civilians,MX06007,19.0532,-104.3164
MEX94958,2024-10-29,Battles,MX15007,19.2804,-100.015
MEX94962,2024-10-29,Battles,MX19018,25.8005,-100.5855
MEX94966,2024-10-29,Violence against civilians,MX24028,22.255,-100.9474
MEX94977,2024-10-30,Battles,MX07101,16.754,-93.1152
MEX94978,2024-10-30,Violence against civilians,MX08017,28.4063,-106.866
MEX94984,2024-10-30,Battles,MX09011,19.2706,-99.0048
MEX94986,2024-10-30,Violence against civilians,MX11007,20.5215,-100.814
MEX94991,2024-10-30,Violence against civilians,MX15081,19.673,-98.9583
MEX94992,2024-10-30,Violence against civilians,MX15081,19.7102,-98.9671
MEX94993,2024-10-30,Violence against civilians,MX17028,18.7808,-99.2305
MEX94995,2024-10-30,Battles,MX19029,24.8846,-99.6732
MEX94997,2024-10-30,Violence against civilians,MX20318,15.871,-97.0757
MEX95005,2024-10-30,Violence against civilians,MX27002,17.9894,-93.3769
MEX95006,2024-10-30,Violence against civilians,MX27004,17.9878,-92.9194
MEX95007,2024-10-30,Violence against civilians,MX27004,17.9878,-92.9194
MEX95017,2024-10-31,Violence against civilians,MX08019,28.6368,-106.0763
MEX95024,2024-10-31,Battles,MX11046,20.2839,-101.3024
MEX95036,2024-10-31,Battles,MX19018,25.8005,-100.5855
MEX95041,2024-10-31,Violence against civilians,MX24010,22.4023,-99.6028
MEX95042,2024-10-31,Violence against civilians,MX28032,26.0924,-98.2781
MEX95047,2024-10-31,Violence against civilians,MX32010,23.1749,-102.8682
MEX95048,2024-11-01,Violence against civilians,MX02004,32.5325,-117.019
MEX95060,2024-11-01,Violence against civilians,MX16020,19.9682,-101.1396
MEX95061,2024-11-01,Battles,MX16084,19.8809,-102.3924
MEX95062,2024-11-01,Battles,MX16084,19.954,-102.4328
MEX88684,2024-06-03,Violence against civilians,MX16019,19.8084,-102.7041
MEX94084,2024-10-06,Battles,MX26017,30.7166,-112.1562
MEX94310,2024-10-13,Violence against civilians,MX14064,21.8642,-101.5933
MEX95026,2024-10-31,Violence against civilians,MX12011,17.1775,-100.5103
MEX95058,2024-11-01,Violence against civilians,MX12029,17.5516,-99.5011
MEX95063,2024-11-01,Violence against civilians,MX19018,25.8005,-100.5855
MEX95270,2024-11-07,Violence against civilians,MX04003,18.6138,-92.223
MEX95275,2024-11-07,Violence against civilians,MX11007,20.5215,-100.814
MEX95276,2024-11-07,Violence against civilians,MX11007,20.5215,-100.814
MEX95284,2024-11-07,Violence against civilians,MX12021,17.0472,-100.2682
MEX95288,2024-11-07,Violence against civilians,MX14039,20.6764,-103.3422
MEX95289,2024-11-07,Violence against civilians,MX14097,20.4736,-103.4431
MEX95290,2024-11-07,Violence against civilians,MX15090,19.1044,-99.5908
MEX95292,2024-11-07,Battles,MX16008,18.5991,-103.5048
MEX95294,2024-11-07,Violence against civilians,MX16043,19.931,-102.2557
MEX95295,2024-11-07,Battles,MX16108,19.9836,-102.286
MEX95296,2024-11-07,Violence against civilians,MX16108,19.9836,-102.286
MEX95298,2024-11-07,Violence against civilians,MX17007,18.9218,-99.2349
MEX95299,2024-11-07,Violence against civilians,MX19033,24.8597,-99.5679
MEX95300,2024-11-07,Violence against civilians,MX19038,25.1893,-99.827
MEX95302,2024-11-07,Violence against civilians,MX20043,16.4333,-95.0216
MEX95303,2024-11-07,Violence against civilians,MX20067,17.06,-96.7255
MEX95304,2024-11-07,Violence against civilians,MX21041,19.0991,-98.2541
MEX95306,2024-11-07,Violence against civilians,MX22014,20.5934,-100.39
MEX95312,2024-11-07,Battles,MX25006,24.3722,-107.536
MEX95313,2024-11-07,Battles,MX25018,24.5318,-107.541
MEX95316,2024-11-07,Battles,MX27004,18.1353,-92.8619
MEX95317,2024-11-07,Battles,MX27004,17.9878,-92.9194
MEX95318,2024-11-07,Violence against civilians,MX27004,17.9878,-92.9194
MEX95322,2024-11-07,Violence against civilians,MX27005,18.266,-93.225
MEX95324,2024-11-07,Violence against civilians,MX28022,25.8799,-97.5048
MEX95242,2024-11-06,Violence against civilians,MX12021,17.009,-100.0894
MEX95243,2024-11-06,Violence against civilians,MX12035,18.3445,-99.5384
MEX95244,2024-11-06,Violence against civilians,MX15062,19.2654,-99.4858
MEX95245,2024-11-06,Violence against civilians,MX15081,19.6704,-99.016
MEX95246,2024-11-06,Battles,MX16037,19.8979,-101.5061
MEX95249,2024-11-06,Violence against civilians,MX20039,17.8068,-97.7762
MEX95264,2024-11-06,Violence against civilians,MX32010,23.1749,-102.8682
MEX95193,2024-11-05,Violence against civilians,MX12021,17.009,-100.0894
MEX95206,2024-11-05,Battles,MX16110,19.8072,-100.7142
MEX95208,2024-11-05,Violence against civilians,MX17007,18.9218,-99.2349
MEX95218,2024-11-05,Violence against civilians,MX27008,17.6661,-93.4811
MEX95219,2024-11-05,Violence against civilians,MX28032,26.0924,-98.2781
MEX95252,2024-11-05,Battles,MX25002,25.1254,-108.0138
MEX95139,2024-11-04,Violence against civilians,MX04003,18.6378,-91.8365
MEX95152,2024-11-04,Battles,MX14053,21.3564,-101.9292
MEX95153,2024-11-04,Violence against civilians,MX14098,20.6386,-103.3072
MEX95158,2024-11-04,Violence against civilians,MX17011,18.882,-99.1772
MEX95159,2024-11-04,Violence against civilians,MX19018,25.8005,-100.5855
MEX95175,2024-11-04,Violence against civilians,MX32010,23.1899,-102.7882
MEX95108,2024-11-03,Violence against civilians,MX02004,32.5325,-117.019
MEX95110,2024-11-03,Violence against civilians,MX08019,28.6368,-106.0763
MEX95111,2024-11-03,Violence against civilians,MX08019,28.6368,-106.0763
MEX95114,2024-11-03,Violence against civilians,MX11007,20.5215,-100.814
MEX95122,2024-11-03,Violence against civilians,MX16053,19.7034,-101.192
MEX95124,2024-11-03,Violence against civilians,MX19033,24.9433,-99.7626
MEX95128,2024-11-03,Battles,MX21019,18.9088,-98.4342
MEX95129,2024-11-03,Violence against civilians,MX21019,18.9088,-98.4342
MEX95133,2024-11-03,Violence against civilians,MX27006,18.0656,-93.1726
MEX95134,2024-11-03,Violence against civilians,MX30006,18.7181,-97.3071
MEX95135,2024-11-03,Violence against civilians,MX30144,17.881,-94.9601
MEX95078,2024-11-02,Violence against civilians,MX02002,32.4993,-114.9622
MEX95079,2024-11-02,Violence against civilians,MX02002,32.4847,-115.002
MEX95080,2024-11-02,Violence against civilians,MX02002,32.6412,-115.476
MEX95081,2024-11-02,Battles,MX02003,32.5245,-116.0568
MEX95082,2024-11-02,Violence against civilians,MX02004,32.5325,-117.019
MEX95084,2024-11-02,Violence against civilians,MX09005,19.4829,-99.1135
MEX95097,2024-11-02,Violence against civilians,MX17028,18.7808,-99.2305
MEX95098,2024-11-02,Violence against civilians,MX19048,25.6744,-100.4617
MEX95100,2024-11-02,Violence against civilians,MX21114,19.044,-98.1975
MEX95102,2024-11-02,Battles,MX24040,22.0059,-98.7795
MEX95104,2024-11-02,Violence against civilians,MX27005,18.283,-93.3335
MEX95105,2024-11-02,Violence against civilians,MX30108,17.991,-94.5484
MEX95106,2024-11-02,Battles,MX32010,22.9177,-102.9211
MEX95070,2024-11-01,Battles,MX11017,20.6728,-101.3481
MEX95076,2024-11-01,Violence against civilians,MX32024,22.2721,-101.8233
MEX95068,2024-10-31,Violence against civilians,MX09005,19.4829,-99.1135
MEX95069,2024-10-31,Battles,MX27014,18.3982,-93.2123
MEX95067,2024-10-21,Violence against civilians,MX12023,16.472,-98.4167
MEX94664,2024-10-20,Violence against civilians,MX25016,23.6205,-106.7667
MEX93838,2024-10-01,Battles,MX19032,27.134,-100.6849
MEX93483,2024-09-26,Battles,MX25004,23.4956,-105.8396
MEX92931,2024-09-16,Battles,MX08014,26.6239,-105.0932
MEX95065,2024-09-15,Violence against civilians,MX02004,32.5325,-117.019
MEX92340,2024-08-27,Violence against civilians,MX08029,26.2258,-107.3023
MEX92342,2024-08-27,Violence against civilians,MX08029,26.2072,-107.3612
MEX91577,2024-08-17,Battles,MX18005,22.8449,-105.1227
MEX91888,2024-08-17,Battles,MX25008,24.1807,-106.7375
MEX88651,2024-06-02,Battles,MX21106,18.9768,-98.3024
MEX88930,2024-06-10,Violence against civilians,MX21106,18.9768,-98.3024
MEX91062,2024-07-20,Violence against civilians,MX21106,18.9768,-98.3024
MEX94493,2024-10-14,Violence against civilians,MX21106,18.9768,-98.3024
MEX92820,2024-09-12,Battles,MX21156,18.4622,-97.392
MEX88653,2024-06-12,Violence against civilians,MX02004,32.5325,-117.019
MEX94262,2024-10-17,Violence against civilians,MX09015,19.4313,-99.1531
MEX93942,2024-10-05,Violence against civilians,MX12061,17.5667,-99.3983
MEX95297,2024-11-07,Violence against civilians,MX17007,18.9218,-99.2349
MEX91460,2024-08-10,Violence against civilians,MX19010,25.9322,-100.3641
MEX91461,2024-08-12,Violence against civilians,MX19018,25.8005,-100.5855
MEX89419,2024-07-04,Battles,MX19021,25.808,-100.3226
MEX91466,2024-08-10,Violence against civilians,MX19029,24.9137,-99.688
MEX91467,2024-08-12,Violence against civilians,MX19038,25.1893,-99.827
MEX91474,2024-08-11,Violence against civilians,MX19048,25.6744,-100.4617
MEX87837,2024-05-21,Battles,MX28033,25.981,-98.0901
MEX88816,2024-06-02,Violence against civilians,MX28033,25.981,-98.0901
MEX89061,2024-06-13,Battles,MX28033,25.981,-98.0901
MEX89914,2024-07-07,Battles,MX28032,26.0281,-98.1973
MEX90061,2024-07-12,Battles,MX25006,24.6089,-107.2477
MEX90785,2024-06-13,Battles,MX28032,26.0041,-98.1602
MEX90800,2024-07-31,Violence against civilians,MX28033,25.981,-98.0901
MEX90908,2024-07-31,Violence against civilians,MX15005,19.3697,-99.7589
MEX91378,2024-08-12,Violence against civilians,MX11020,21.0715,-101.5475
MEX92793,2024-09-13,Battles,MX19022,25.2586,-99.6837
MEX92833,2024-09-09,Violence against civilians,MX25006,24.3457,-107.307
MEX93416,2024-09-25,Battles,MX19022,25.2586,-99.6837
MEX93922,2024-10-09,Violence against civilians,MX11020,21.0193,-101.6439
MEX94147,2024-10-17,Battles,MX19022,25.2586,-99.6837
MEX95155,2024-11-04,Violence against civilians,MX15005,19.3697,-99.7589
MEX95463,2024-10-27,Violence against civilians,MX12029,17.5516,-99.5011
MEX95464,2024-11-06,Violence against civilians,MX12029,17.5516,-99.5011
MEX95504,2024-08-26,Violence against civilians,MX15121,19.657,-99.2093
MEX95535,2024-08-27,Violence against civilians,MX19004,25.2869,-100.0083
MEX95536,2024-08-26,Violence against civilians,MX19006,25.7813,-100.1892
MEX95541,2024-08-23,Violence against civilians,MX19018,25.8005,-100.5855
