snapshot_date,data_as_of,adm2_code,adm1_name,adm2_name,DCR100,PRS100,priority100,v30,v3m,dlt_v30_raw,spillover
2025-11-07,2024-11-07,MX16036,Michoacán de Ocampo,Huandacareo,14.335386966629022,29.58131311003403,23.48294265267203,0.0,0.0,0.0,3.0295012849114524
2025-11-07,2024-11-07,MX11016,Guanajuato,Huanímaro,9.10344892430401,31.168700515402296,22.342599878962982,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX19029,Nuevo León,Hualahuises,51.345346258228766,75.96245463253574,66.11561128281295,54.734537493158186,109.46907498631637,54.734537493158186,18.069295749198176
2025-11-07,2024-11-07,MX18005,Nayarit,Huajicori,57.51872538354754,49.32045553882662,52.59976347671499,30.835646006783843,92.50693802035153,0.0,2.9334115576415374
2025-11-07,2024-11-07,MX26031,Sonora,Huachinera,7.337179878122481,20.455219121477672,15.208003424135597,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX31036,Yucatán,Homún,14.747541631039072,18.970422593607186,17.28127020857994,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21057,Puebla,Honey,18.378424934230267,24.18154111895721,21.860294645066432,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX14040,Jalisco,Hostotipaquillo,13.400127296196821,20.360938086908597,17.576613770623887,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX04006,Campeche,Hopelchén,17.94542293145021,16.19109018868744,16.892823285792545,0.0,0.0,0.0,0.6671792622294923
2025-11-07,2024-11-07,MX12033,Guerrero,Huamuxtitlán,45.16418177703848,67.17163227189685,58.3686520739535,21.81500872600349,21.81500872600349,21.81500872600349,0.0
2025-11-07,2024-11-07,MX29013,Tlaxcala,Huamantla,13.63721551523376,14.695907159058546,14.272430501528632,0.0,0.0,0.0,0.09773107535456835
2025-11-07,2024-11-07,MX31035,Yucatán,Hoctún,15.960501196256697,19.455606419694238,18.05756433031922,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX26033,Sonora,Huatabampo,9.575685448238604,21.0148455140067,16.439181487699464,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21150,Puebla,Huehuetlán el Grande,18.72569540707149,24.459722518784254,22.16611167409915,0.0,0.0,0.0,0.2606162009455156
2025-11-07,2024-11-07,MX21073,Puebla,Huehuetlán el Chico,19.88558918110673,24.558332180676327,22.68923498084849,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX24018,San Luis Potosí,Huehuetlán,16.013141727611874,19.47666263223631,18.091254270386532,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX13027,Hidalgo,Huehuetla,17.044359060006816,16.441942360598127,16.6829090403616,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21072,Puebla,Huehuetla,19.290252520931556,24.40949801563253,22.36179981775214,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21074,Puebla,Huejotzingo,35.84130115646628,49.327023304798125,43.932734445465385,8.3236224404861,16.6472448809722,0.0,0.20269338976317303
2025-11-07,2024-11-07,MX08033,Chihuahua,Huejotitán,6.585688782991827,18.49596784182944,13.731856218294395,0.0,0.0,0.0,0.6573109409406119
2025-11-07,2024-11-07,MX07037,Chiapas,Huehuetán,30.103428431256585,62.28030481684789,49.409554262611366,10.398253093480296,10.398253093480296,10.398253093480296,3.004085556356645
2025-11-07,2024-11-07,MX15035,México,Huehuetoca,10.316130860965837,17.749626671430033,14.776228347244356,0.0,0.0,0.0,1.0019638491443228
2025-11-07,2024-11-07,MX30071,Veracruz de Ignacio de la Llave,Huatusco,17.279852709913524,24.297327760983052,21.490337740555237,0.0,0.0,0.0,1.4087880196666807
2025-11-07,2024-11-07,MX21070,Puebla,Huatlatlauca,18.675140519893038,24.2557200153729,22.023488217180955,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX13026,Hidalgo,Huazalingo,20.0,17.180852595596424,18.308511557357853,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX30072,Veracruz de Ignacio de la Llave,Huayacocotla,17.804203432776383,23.393978587958674,21.15806852588576,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX20040,Oaxaca,Huautepec,20.0,17.180852595596424,18.308511557357853,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21071,Puebla,Huauchinango,14.83889341071056,23.296658238077285,19.913552307130594,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX20041,Oaxaca,Huautla de Jiménez,18.938946405029995,16.915589196853922,17.72493208012435,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX13025,Hidalgo,Huautla,13.56798852466897,15.572849726763666,14.770905245925785,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX19028,Nuevo León,Higueras,5.626323679678984,25.269838805424154,17.412432755126087,0.0,0.0,0.0,3.192678124833715
2025-11-07,2024-11-07,MX20028,Oaxaca,Heroica Ciudad de Ejutla de Crespo,35.62325581044725,15.712177586638326,23.676608876161897,0.0,16.35322976287817,0.0,0.0
2025-11-07,2024-11-07,MX20039,Oaxaca,Heroica Ciudad de Huajuapan de León,20.719164741798973,29.446658994621355,25.955661293492405,4.876145894285157,9.752291788570314,0.0,0.0
2025-11-07,2024-11-07,MX26030,Sonora,Hermosillo,4.192952261834265,14.58600357784351,10.428783051439812,0.4093813837909535,2.4562883027457207,-0.8187627675819069,0.0
2025-11-07,2024-11-07,MX31034,Yucatán,Hocabá,14.403235240548309,18.83270003741088,17.060914118665853,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX19047,Nuevo León,Hidalgo,16.22739190321385,31.825804328108298,25.58643935815052,0.0,0.0,0.0,12.726531084901026
2025-11-07,2024-11-07,MX28016,Tamaulipas,Hidalgo,15.241749155907405,17.2793041958434,16.464282179869002,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX30070,Veracruz de Ignacio de la Llave,Hidalgotitlán,29.309189449290308,31.436750243168373,30.585725925617147,0.0,0.0,0.0,7.036233009133095
2025-11-07,2024-11-07,MX08032,Chihuahua,Hidalgo del Parral,7.922357490830725,41.68083089038338,28.17744153056232,3.2865547047030597,3.2865547047030597,3.2865547047030597,0.0
2025-11-07,2024-11-07,MX20397,Oaxaca,Heroica Ciudad de Tlaxiaco,10.601260095301956,14.831167619421915,13.13920460977393,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX20043,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,31.729492547440234,24.84682228945361,27.599890392648263,6.75219446320054,16.88048615800135,-3.3760972316002693,0.0
2025-11-07,2024-11-07,MX05013,Coahuila de Zaragoza,Hidalgo,1.4837392715762105,11.585776680037881,7.544961716653213,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX10010,Durango,Hidalgo,6.253939376807552,13.422333861980778,10.554976067911486,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX16034,Michoacán de Ocampo,Hidalgo,15.886409046358239,28.455758995563425,23.428019015881347,0.0,0.0,0.0,0.968541763520843
2025-11-07,2024-11-07,MX20549,Oaxaca,Heroica Villa Tezoatlán de Segura y Luna,16.59802210935157,16.330358122934317,16.43742371750122,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX14057,Jalisco,La Manzanilla de la Paz,4.884828116874234,18.23211329207795,12.893199221996465,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX21095,Puebla,La Magdalena Tlatlauquitepec,20.0,24.586934885399643,22.752160931239786,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX29048,Tlaxcala,La Magdalena Tlaltelulco,0.0,11.214841862143828,6.728905117286297,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX16035,Michoacán de Ocampo,La Huacana,25.506195529023234,35.72434902879299,31.637087628885084,0.0,0.0,0.0,7.592283509357323
2025-11-07,2024-11-07,MX07036,Chiapas,La Grandeza,20.0,16.858849017778894,18.115309410667336,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX08016,Chihuahua,La Cruz,0.0,16.36689910722433,9.820139464334599,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX20017,Oaxaca,La Compañía,20.0,17.180852595596424,18.308511557357853,0.0,0.0,0.0,0.0
2025-11-07,2024-11-07,MX07020,Chiapas,La Concordia,28.341195248067493,6.048513944232619,14.965586465766567,0.0,7.588404917286386,-7.588404917286386,0.6688694768102952
