snapshot_date,adm1_name,cast_state_mean
2024-08-13,Tlaxcala,0.07104795737122561
2024-08-13,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-13,Yucatán,0.0
2024-08-13,Zacatecas,0.17761989342806397
2024-08-14,Aguascalientes,0.0
2024-08-14,Baja California,0.6749555950266432
2024-08-14,Baja California Sur,0.0
2024-08-14,Campeche,0.07104795737122559
2024-08-14,Chiapas,0.47957371225577267
2024-08-14,Chihuahua,0.408525754884547
2024-08-14,Coahuila de Zaragoza,0.035523978685612786
2024-08-14,Colima,0.35523978685612795
2024-08-14,Distrito Federal,0.14209591474245117
2024-08-14,Durango,0.035523978685612786
2024-08-14,Guanajuato,1.0
2024-08-14,Guerrero,0.88809946714032
2024-08-14,Hidalgo,0.2309058614564832
2024-08-14,Jalisco,0.5683836589698048
2024-08-14,Michoacán de Ocampo,0.710479573712256
2024-08-14,Morelos,0.3730017761989343
2024-08-14,México,0.24866785079928955
2024-08-14,Nayarit,0.035523978685612786
2024-08-14,Nuevo León,1.0
2024-08-14,Oaxaca,0.08880994671403197
2024-08-14,Puebla,0.40852575488454695
2024-08-14,Querétaro de Arteaga,0.029868942395611095
2024-08-14,Quintana Roo,0.15985790408525755
2024-08-14,San Luis Potosí,0.10657193605683836
2024-08-14,Sinaloa,0.49733570159857915
2024-08-14,Sonora,0.23090586145648315
2024-08-14,Tabasco,0.35523978685612795
2024-08-14,Tamaulipas,0.30195381882770883
2024-08-14,Tlaxcala,0.07104795737122561
2024-08-14,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-14,Yucatán,0.0
2024-08-14,Zacatecas,0.17761989342806397
2024-08-15,Aguascalientes,0.0
2024-08-15,Baja California,0.6749555950266432
2024-08-15,Baja California Sur,0.0
2024-08-15,Campeche,0.07104795737122559
2024-08-15,Chiapas,0.47957371225577267
2024-08-15,Chihuahua,0.408525754884547
2024-08-15,Coahuila de Zaragoza,0.035523978685612786
2024-08-15,Colima,0.35523978685612795
2024-08-15,Distrito Federal,0.14209591474245117
2024-08-15,Durango,0.035523978685612786
2024-08-15,Guanajuato,1.0
2024-08-15,Guerrero,0.88809946714032
2024-08-15,Hidalgo,0.2309058614564832
2024-08-15,Jalisco,0.5683836589698048
2024-08-15,Michoacán de Ocampo,0.710479573712256
2024-08-15,Morelos,0.3730017761989343
2024-08-15,México,0.24866785079928955
2024-08-15,Nayarit,0.035523978685612786
2024-08-15,Nuevo León,1.0
2024-08-15,Oaxaca,0.08880994671403197
2024-08-15,Puebla,0.40852575488454695
2024-08-15,Querétaro de Arteaga,0.029868942395611095
2024-08-15,Quintana Roo,0.15985790408525755
2024-08-15,San Luis Potosí,0.10657193605683836
2024-08-15,Sinaloa,0.49733570159857915
2024-08-15,Sonora,0.23090586145648315
2024-08-15,Tabasco,0.35523978685612795
2024-08-15,Tamaulipas,0.30195381882770883
2024-08-15,Tlaxcala,0.07104795737122561
2024-08-15,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-15,Yucatán,0.0
2024-08-15,Zacatecas,0.17761989342806397
2024-08-16,Aguascalientes,0.0
2024-08-16,Baja California,0.6749555950266432
2024-08-16,Baja California Sur,0.0
2024-08-16,Campeche,0.07104795737122559
2024-08-16,Chiapas,0.47957371225577267
2024-08-16,Chihuahua,0.408525754884547
2024-08-16,Coahuila de Zaragoza,0.035523978685612786
2024-08-16,Colima,0.35523978685612795
2024-08-16,Distrito Federal,0.14209591474245117
2024-08-16,Durango,0.035523978685612786
2024-08-16,Guanajuato,1.0
2024-08-16,Guerrero,0.88809946714032
2024-08-16,Hidalgo,0.2309058614564832
2024-08-16,Jalisco,0.5683836589698048
2024-08-16,Michoacán de Ocampo,0.710479573712256
2024-08-16,Morelos,0.3730017761989343
2024-08-16,México,0.24866785079928955
2024-08-16,Nayarit,0.035523978685612786
2024-08-16,Nuevo León,1.0
2024-08-16,Oaxaca,0.08880994671403197
2024-08-16,Puebla,0.40852575488454695
2024-08-16,Querétaro de Arteaga,0.029868942395611095
2024-08-16,Quintana Roo,0.15985790408525755
2024-08-16,San Luis Potosí,0.10657193605683836
2024-08-16,Sinaloa,0.49733570159857915
2024-08-16,Sonora,0.23090586145648315
2024-08-16,Tabasco,0.35523978685612795
2024-08-16,Tamaulipas,0.30195381882770883
2024-08-16,Tlaxcala,0.07104795737122561
2024-08-16,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-16,Yucatán,0.0
2024-08-16,Zacatecas,0.17761989342806397
2024-08-17,Aguascalientes,0.0
2024-08-17,Baja California,0.6749555950266432
2024-08-17,Baja California Sur,0.0
2024-08-17,Campeche,0.07104795737122559
2024-08-17,Chiapas,0.47957371225577267
2024-08-17,Chihuahua,0.408525754884547
2024-08-17,Coahuila de Zaragoza,0.035523978685612786
2024-08-17,Colima,0.35523978685612795
2024-08-17,Distrito Federal,0.14209591474245117
2024-08-17,Durango,0.035523978685612786
2024-08-17,Guanajuato,1.0
2024-08-17,Guerrero,0.88809946714032
2024-08-17,Hidalgo,0.2309058614564832
2024-08-17,Jalisco,0.5683836589698048
2024-08-17,Michoacán de Ocampo,0.710479573712256
2024-08-17,Morelos,0.3730017761989343
2024-08-17,México,0.24866785079928955
2024-08-17,Nayarit,0.035523978685612786
2024-08-17,Nuevo León,1.0
2024-08-17,Oaxaca,0.08880994671403197
2024-08-17,Puebla,0.40852575488454695
2024-08-17,Querétaro de Arteaga,0.029868942395611095
2024-08-17,Quintana Roo,0.15985790408525755
2024-08-17,San Luis Potosí,0.10657193605683836
2024-08-17,Sinaloa,0.49733570159857915
2024-08-17,Sonora,0.23090586145648315
2024-08-17,Tabasco,0.35523978685612795
2024-08-17,Tamaulipas,0.30195381882770883
2024-08-17,Tlaxcala,0.07104795737122561
2024-08-17,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-17,Yucatán,0.0
2024-08-17,Zacatecas,0.17761989342806397
2024-08-18,Aguascalientes,0.0
2024-08-18,Baja California,0.6749555950266432
2024-08-18,Baja California Sur,0.0
2024-08-18,Campeche,0.07104795737122559
2024-08-18,Chiapas,0.47957371225577267
2024-08-18,Chihuahua,0.408525754884547
2024-08-18,Coahuila de Zaragoza,0.035523978685612786
2024-08-18,Colima,0.35523978685612795
2024-08-18,Distrito Federal,0.14209591474245117
2024-08-18,Durango,0.035523978685612786
2024-08-18,Guanajuato,1.0
2024-08-18,Guerrero,0.88809946714032
2024-08-18,Hidalgo,0.2309058614564832
2024-08-18,Jalisco,0.5683836589698048
2024-08-18,Michoacán de Ocampo,0.710479573712256
2024-08-18,Morelos,0.3730017761989343
2024-08-18,México,0.24866785079928955
2024-08-18,Nayarit,0.035523978685612786
2024-08-18,Nuevo León,1.0
2024-08-18,Oaxaca,0.08880994671403197
2024-08-18,Puebla,0.40852575488454695
2024-08-18,Querétaro de Arteaga,0.029868942395611095
2024-08-18,Quintana Roo,0.15985790408525755
2024-08-18,San Luis Potosí,0.10657193605683836
2024-08-18,Sinaloa,0.49733570159857915
2024-08-18,Sonora,0.23090586145648315
2024-08-18,Tabasco,0.35523978685612795
2024-08-18,Tamaulipas,0.30195381882770883
2024-08-18,Tlaxcala,0.07104795737122561
2024-08-18,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-18,Yucatán,0.0
2024-08-18,Zacatecas,0.17761989342806397
2024-08-19,Aguascalientes,0.0
2024-08-19,Baja California,0.6749555950266432
2024-08-19,Baja California Sur,0.0
2024-08-19,Campeche,0.07104795737122559
2024-08-19,Chiapas,0.47957371225577267
2024-08-19,Chihuahua,0.408525754884547
2024-08-19,Coahuila de Zaragoza,0.035523978685612786
2024-08-19,Colima,0.35523978685612795
2024-08-19,Distrito Federal,0.14209591474245117
2024-08-19,Durango,0.035523978685612786
2024-08-19,Guanajuato,1.0
2024-08-19,Guerrero,0.88809946714032
2024-08-19,Hidalgo,0.2309058614564832
2024-08-19,Jalisco,0.5683836589698048
2024-08-19,Michoacán de Ocampo,0.710479573712256
2024-08-19,Morelos,0.3730017761989343
2024-08-19,México,0.24866785079928955
2024-08-19,Nayarit,0.035523978685612786
2024-08-19,Nuevo León,1.0
2024-08-19,Oaxaca,0.08880994671403197
2024-08-19,Puebla,0.40852575488454695
2024-08-19,Querétaro de Arteaga,0.029868942395611095
2024-08-19,Quintana Roo,0.15985790408525755
